AÑO,SEMESTRE,SEXO BIOLOGICO,PROGRAMA,PAIS NACIMIENTO,DEPARTAMENTO NACIMIENTO,MUNICIPIO NACIMIENTO,NUMERO MATERIAS INSCRITAS,NUMERO MATERIAS APROBADAS,NIVEL_ACADEMICO,ESTRATO,ESTUDIANTE_ID,DESERCION
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Medellín,7.0,5.0,Pregrado,2,05aa3593,1.0
2024,1,M,Ingeniería de Software y Datos,Colombia,Norte de Santander,San José de Cúcuta,5.0,5.0,Pregrado,2,ca26aead,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS,Colombia,Magdalena,Plato,6.0,3.0,Pregrado,1,220d3011,0.0
2024,1,M,INGENIERÍA MECATRÓNICA,Colombia,Santander,Bucaramanga,6.0,0.0,Pregrado,3,c796be2b,1.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,Santa Bárbara,5.0,4.0,Pregrado,2,0b4e80e2,
2024,1,F,TRABAJO SOCIAL,Colombia,Santander,Barrancabermeja,4.0,2.0,Pregrado,1,11e31757,0.0
2024,1,M,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Magdalena,El Banco,7.0,7.0,Pregrado,1,de85b32c,1.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Bolívar,Cartagena de Indias,7.0,7.0,Pregrado,1,c916115b,0.0
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Magdalena,Plato,7.0,7.0,Pregrado,1,cbeace39,0.0
2024,1,F,TECNOLOGÍA EN DESARROLLO COMUNITARIO,Colombia,Magdalena,Santa Ana,4.0,3.0,Pregrado,1,2e7d87c1,0.0
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Antioquia,La Ceja,7.0,5.0,Pregrado,2,a49991d9,0.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Cesar,Gamarra,5.0,5.0,Pregrado,2,0f747cd0,0.0
2024,1,M,TRABAJO SOCIAL,Colombia,Antioquia,La Ceja,5.0,5.0,Pregrado,3,9a12037b,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Fredonia,6.0,3.0,Pregrado,3,d60cdc1e,0.0
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Antioquia,La Ceja,7.0,0.0,Pregrado,3,23c6de54,0.0
2024,1,F,CIENCIAS AMBIENTALES,Colombia,Antioquia,Caucasia,6.0,6.0,Pregrado,1,1d50f297,0.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,San Rafael,7.0,6.0,Pregrado,3,f9036236,0.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,San Juan de Urabá,4.0,4.0,Pregrado,1,e7617069,1.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,Arboletes,3.0,3.0,Pregrado,3,7fb0ea91,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,La Unión,7.0,6.0,Pregrado,2,165c6d6a,1.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,2,819c56dd,0.0
2024,1,M,TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA,Colombia,Valle del Cauca,Santiago de Cali,7.0,7.0,Pregrado,3,1c3f24f9,0.0
2024,1,M,ESPECIALIZACIÓN EN ANÁLITICA Y  BIG DATA,Colombia,"Bogotá, D.C.","Bogotá, D.C.",1.0,0.0,Posgrado,2,0dcf4f12,0.0
2024,1,M,ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,Colombia,Antioquia,Medellín,5.0,5.0,Posgrado,2,56e47e44,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS,Colombia,Magdalena,Ariguaní,5.0,3.0,Pregrado,1,7a1e3fad,0.0
2024,1,M,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,La Ceja,7.0,7.0,Pregrado,3,8712f5d6,0.0
2024,1,M,TRABAJO SOCIAL,Colombia,Córdoba,Montería,4.0,0.0,Pregrado,2,7291b091,0.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,1,57c1eff8,0.0
2024,1,F,Licenciatura en Educación Básica Primaria,Colombia,Magdalena,San Sebastián de Buenavista,5.0,5.0,Pregrado,1,3e55d66e,0.0
2024,1,M,TRABAJO SOCIAL,Colombia,Magdalena,San Sebastián de Buenavista,5.0,3.0,Pregrado,1,665ec0bf,1.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Bolívar,Cartagena de Indias,7.0,0.0,Pregrado,3,bb4b0567,1.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,Puerto Triunfo,4.0,4.0,Pregrado,1,96f982e6,1.0
2024,1,F,TECNOLOGÍA EN DESARROLLO COMUNITARIO,Colombia,Antioquia,San Pedro de Urabá,4.0,4.0,Pregrado,1,defb3b40,0.0
2024,1,F,CIENCIAS AMBIENTALES,Colombia,Antioquia,Nechí,6.0,6.0,Pregrado,1,0b4fe16e,0.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Nechí,7.0,7.0,Pregrado,1,8870a2c2,1.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,Nechí,5.0,5.0,Pregrado,1,91a5c758,1.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Remedios,7.0,7.0,Pregrado,2,f9285258,0.0
2024,1,F,CIENCIAS AMBIENTALES,Colombia,Antioquia,Caicedo,6.0,6.0,Pregrado,1,7540e6b8,0.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Cauca,Popayán,7.0,7.0,Pregrado,2,8ae3466f,0.0
2024,1,F,TRABAJO SOCIAL,Colombia,Bolívar,Santa Catalina,5.0,5.0,Pregrado,1,4cd2c895,0.0
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Antioquia,Medellín,6.0,5.0,Pregrado,3,6d6fab81,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,La Ceja,7.0,7.0,Pregrado,3,cf2773fd,1.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Medellín,7.0,5.0,Pregrado,2,d5514953,1.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,2,1f8e234c,no_dato
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Medellín,8.0,8.0,Pregrado,3,fe1a68c1,1.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,3,6e8925e9,0.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Envigado,7.0,7.0,Pregrado,3,b4af0b2f,1.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Tarazá,7.0,7.0,Pregrado,2,cffd66a7,1.0
2024,1,M,TECNOLOGÍA EN DESARROLLO COMUNITARIO,Colombia,Antioquia,Medellín,4.0,4.0,Pregrado,2,ebc37d53,no_dato
2024,1,F,TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA,Colombia,Putumayo,Puerto Asís,6.0,6.0,Pregrado,1,c85ef82b,1.0
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,"Archipiélago de San Andrés, Providencia y Santa Catalina",San Andrés,7.0,0.0,Pregrado,2,dd69438f,1.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,Arboletes,4.0,3.0,Pregrado,1,946c804a,0.0
2024,1,F,ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,Colombia,Antioquia,Medellín,5.0,5.0,Posgrado,3,6e34911c,1.0
2024,1,M,INGENIERÍA MECATRÓNICA,Colombia,Antioquia,Santa Fé de Antioquia,6.0,5.0,Pregrado,1,a436d50d,0.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,Medellín,5.0,5.0,Pregrado,2,28768ced,1.0
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Antioquia,Medellín,7.0,4.0,Pregrado,2,612823f7,0.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,3,dd8a6812,0.0
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Antioquia,San Luis,6.0,5.0,Pregrado,2,ef1a9b1d,1.0
2024,1,F,TECNOLOGÍA EN DESARROLLO COMUNITARIO,Colombia,Magdalena,Santa Marta,4.0,4.0,Pregrado,1,f176a5a5,0.0
2024,1,M,ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,Colombia,Antioquia,Medellín,5.0,5.0,Posgrado,3,12978c7b,1.0
2024,1,F,TRABAJO SOCIAL,Colombia,Magdalena,Sitionuevo,5.0,5.0,Pregrado,1,6b52e388,
2024,1,M,TRABAJO SOCIAL,Colombia,Antioquia,Medellín,4.0,4.0,Pregrado,2,7565c80a,0.0
2024,1,M,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Retiro,7.0,7.0,Pregrado,3,724e6d8d,
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,La Ceja,7.0,3.0,Pregrado,2,bb48f12c,0.0
2024,1,M,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Antioquia,Caucasia,7.0,7.0,Pregrado,2,683b34a7,0.0
2024,1,F,CIENCIAS AMBIENTALES,Colombia,Antioquia,Rionegro,5.0,5.0,Pregrado,3,b4045104,0.0
2024,1,F,TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA,Colombia,Antioquia,Apartadó,7.0,7.0,Pregrado,3,156fea88,0.0
2024,1,M,Ingeniería de Software y Datos,Colombia,Antioquia,Rionegro,4.0,4.0,Pregrado,3,f4db34e0,0.0
2024,1,M,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,3,f5fe0d41,0.0
2024,1,F,TECNOLOGÍA EN DESARROLLO COMUNITARIO,Colombia,Antioquia,San José de La Montaña,4.0,2.0,Pregrado,2,eddf4d12,0.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Santa Fé de Antioquia,6.0,6.0,Pregrado,2,5d4cabe7,0.0
2024,1,F,TRABAJO SOCIAL,Colombia,Risaralda,Quinchía,4.0,4.0,Pregrado,1,6abeaeea,0.0
2024,1,F,TRABAJO SOCIAL,Colombia,Córdoba,San Andrés de Sotavento,4.0,1.0,Pregrado,1,c7de901a,1.0
2024,1,M,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Caldas,Chinchiná,7.0,7.0,Pregrado,3,2436145e,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,"Bogotá, D.C.","Bogotá, D.C.",7.0,7.0,Pregrado,2,84a2e2e2,
2024,1,M,TRABAJO SOCIAL,Colombia,Antioquia,Medellín,5.0,5.0,Pregrado,3,20b6daa7,1.0
2024,1,M,CIENCIAS AMBIENTALES,Colombia,Antioquia,Turbo,6.0,6.0,Pregrado,1,6de93ba2,0.0
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Antioquia,Turbo,7.0,3.0,Pregrado,2,c9c9fb8a,
2024,1,M,Ingeniería de Software y Datos,Colombia,Antioquia,Apartadó,5.0,5.0,Pregrado,1,4419a367,0.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,"Bogotá, D.C.","Bogotá, D.C.",7.0,7.0,Pregrado,3,4d62c8b9,0.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Envigado,7.0,7.0,Pregrado,2,8079d6ab,0.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Arboletes,7.0,0.0,Pregrado,1,e9454edd,0.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Medellín,6.0,6.0,Pregrado,2,a0821914,0.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Caldas,7.0,6.0,Pregrado,1,535bdc37,1.0
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Antioquia,Medellín,7.0,0.0,Pregrado,2,c6ac2ae7,0.0
2024,1,F,TRABAJO SOCIAL,Colombia,Norte de Santander,Ábrego,5.0,5.0,Pregrado,2,64b01de2,0.0
2024,1,F,ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,Colombia,Antioquia,Itagüí,5.0,5.0,Posgrado,3,561bf3fc,0.0
2024,1,F,TECNOLOGÍA EN GESTIÓN COMERCIAL AGROEMPRESARIAL,Colombia,Antioquia,Itagüí,4.0,4.0,Pregrado,2,b38ce785,1.0
2024,1,F,ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,Colombia,Antioquia,Betania,5.0,5.0,Posgrado,2,55bdea15,1.0
2024,1,M,ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,Colombia,"Bogotá, D.C.","Bogotá, D.C.",5.0,5.0,Posgrado,3,a215dc80,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS,Colombia,"Bogotá, D.C.","Bogotá, D.C.",6.0,0.0,Pregrado,2,6b10f055,1.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS,Colombia,"Bogotá, D.C.","Bogotá, D.C.",6.0,0.0,Pregrado,2,198ee7b1,0.0
2024,1,M,INGENIERÍA MECATRÓNICA,Colombia,Huila,La Plata,6.0,6.0,Pregrado,2,a7243e79,0.0
2024,1,M,CIENCIAS AMBIENTALES,Colombia,Antioquia,Mutatá,6.0,4.0,Pregrado,1,c64b0156,0.0
2024,1,M,ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,Colombia,Antioquia,Medellín,4.0,4.0,Posgrado,3,ac9d55a1,0.0
2024,1,M,Ingeniería de Software y Datos,Colombia,Antioquia,Medellín,5.0,5.0,Pregrado,3,5a7eaf7b,0.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Urrao,7.0,0.0,Pregrado,3,0c55075a,0.0
2024,1,M,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,3,73363950,0.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Copacabana,6.0,6.0,Pregrado,2,82ae0042,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Yolombó,7.0,7.0,Pregrado,1,5af2ed04,0.0
2024,1,M,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Caucasia,7.0,2.0,Pregrado,2,ecd1c4ec,0.0
2024,1,M,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Bolívar,Cartagena de Indias,7.0,7.0,Pregrado,2,3cefd971,1.0
2024,1,M,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,Colombia,Caldas,Manizales,7.0,1.0,Pregrado,2,50ac44be,no_dato
2024,1,F,CIENCIAS AMBIENTALES,Colombia,Córdoba,Montería,7.0,7.0,Pregrado,1,950a01c9,1.0
2024,1,F,TRABAJO SOCIAL,Colombia,Bolívar,Cartagena de Indias,5.0,5.0,Pregrado,2,f6182235,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Huila,Colombia,6.0,6.0,Pregrado,2,696c3c65,no_dato
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,"Bogotá, D.C.","Bogotá, D.C.",7.0,0.0,Pregrado,2,a3d67ee1,0.0
2024,1,M,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,Colombia,Antioquia,Medellín,5.0,0.0,Pregrado,3,199fc139,0.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Medellín,5.0,1.0,Pregrado,3,1bc6fe39,0.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,3,09d310ab,0.0
2024,1,M,TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA,Colombia,"Bogotá, D.C.","Bogotá, D.C.",7.0,7.0,Pregrado,2,d8354a12,0.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,3,3ba548fa,
2024,1,M,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,Colombia,Antioquia,Bello,1.0,0.0,Pregrado,3,bc9dbf66,0.0
2024,1,M,Ingeniería de Software y Datos,Colombia,Santander,Barrancabermeja,5.0,3.0,Pregrado,2,663fdb56,0.0
2024,1,M,TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA,Colombia,Antioquia,Santa Bárbara,7.0,7.0,Pregrado,1,cbe8aca8,0.0
2024,1,M,TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA,Colombia,Antioquia,La Ceja,6.0,1.0,Pregrado,2,7644aa19,
2024,1,F,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,Colombia,Antioquia,Guarne,7.0,7.0,Pregrado,3,e350626c,no_dato
2024,1,F,PUBLICIDAD Y MERCADEO DIGITAL,Colombia,Antioquia,Medellín,7.0,0.0,Pregrado,2,b8a6e6e8,0.0
2024,1,F,ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Colombia,Antioquia,Entrerríos,7.0,4.0,Pregrado,3,986db909,0.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,Briceño,5.0,4.0,Pregrado,2,7f090bcf,1.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Medellín,7.0,7.0,Pregrado,2,8b259f66,0.0
2024,1,M,INGENIERÍA MECATRÓNICA,Colombia,Antioquia,Frontino,6.0,0.0,Pregrado,1,13d02a8d,0.0
2024,1,F,TRABAJO SOCIAL,Colombia,Antioquia,Caucasia,4.0,4.0,Pregrado,2,f8334fe8,0.0
2024,1,M,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Támesis,7.0,7.0,Pregrado,2,ea794601,1.0
2024,1,F,ADMINISTRACIÓN DE EMPRESAS,Colombia,Antioquia,Caucasia,7.0,6.0,Pregrado,2,f84ea69b,0.0
2024,1,M,ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,Colombia,Caldas,Supía,5.0,4.0,Posgrado,2,fdc4c681,0.0
